id,dining_cost
19281,1.0
16095,0.0
42040,1.0
18753,1.0
21065,1.0
33333,1.0
45948,1.0
50500,1.0
44723,1.0
5465,1.0
31764,0.0
3986,0.0
27754,0.0
49185,1.0
28095,0.0
31175,0.0
22466,0.0
9091,0.0
2368,0.0
6833,0.0
29598,0.0
50569,1.0
22387,0.0
2485,1.0
8490,1.0
22955,0.0
35455,0.0
989,0.0
8873,0.0
45421,0.0
29320,1.0
28952,1.0
1720,0.0
4850,1.0
35693,1.0
23773,0.0
28864,0.0
36216,0.0
10845,0.0
6950,0.0
29037,0.0
10728,0.0
40634,0.0
3023,1.0
7017,0.0
7696,1.0
27102,1.0
41691,0.0
41976,0.0
21067,1.0
50371,1.0
33063,0.0
8293,1.0
44771,1.0
21275,0.0
1767,0.0
8186,0.0
17029,1.0
42361,1.0
17324,0.0
34193,0.0
51162,1.0
254,1.0
35428,1.0
27667,0.0
8302,1.0
10639,0.0
18677,1.0
17594,1.0
5487,1.0
4948,1.0
23599,1.0
20207,1.0
21561,1.0
16461,0.0
34656,1.0
18770,1.0
18052,1.0
50636,0.0
28942,1.0
51689,1.0
45380,0.0
41403,1.0
11287,1.0
16443,0.0
1785,0.0
45867,1.0
22393,1.0
26616,1.0
21775,1.0
41831,0.0
51069,1.0
9756,0.0
9027,1.0
4025,0.0
27465,1.0
11030,1.0
49208,1.0
32489,0.0
3702,0.0
41794,0.0
7296,0.0
16177,0.0
51430,0.0
45942,0.0
208,0.0
31956,0.0
8306,1.0
50651,0.0
50793,0.0
2526,0.0
16908,1.0
8058,1.0
29447,0.0
2847,0.0
11056,1.0
50116,1.0
248,1.0
8290,1.0
31177,0.0
23232,1.0
23775,0.0
37149,1.0
21158,1.0
15835,1.0
21382,1.0
338,1.0
20858,1.0
7928,1.0
9242,1.0
36783,1.0
37350,0.0
8740,1.0
21528,0.0
20800,0.0
21700,0.0
10727,0.0
28445,1.0
16819,1.0
1721,0.0
29479,0.0
41539,1.0
9384,0.0
51219,1.0
8509,0.0
17978,1.0
17529,1.0
51125,1.0
3578,0.0
10933,1.0
32973,0.0
41203,1.0
3475,1.0
20375,1.0
7458,0.0
41789,0.0
30886,1.0
33341,1.0
22483,0.0
45570,1.0
27825,1.0
33673,1.0
27925,0.0
20699,1.0
8937,0.0
2690,1.0
9215,0.0
9880,0.0
10772,0.0
16629,0.0
17068,1.0
35110,0.0
1753,1.0
41647,1.0
5436,0.0
10456,1.0
23317,0.0
19666,0.0
34593,0.0
3943,1.0
35670,1.0
34425,1.0
46115,1.0
41884,0.0
3483,1.0
50109,1.0
29435,0.0
26874,1.0
51513,0.0
27431,0.0
51004,1.0
2335,1.0
1421,0.0
21888,0.0
31893,0.0
19432,0.0
19696,0.0
7910,1.0
26889,0.0
45192,1.0
2723,1.0
32350,1.0
26696,0.0
51670,1.0
1643,1.0
33364,0.0
51156,1.0
32848,0.0
34623,1.0
51092,1.0
20396,1.0
43750,0.0
44942,1.0
36017,1.0
36781,1.0
17078,1.0
27463,0.0
45822,1.0
22778,1.0
20397,1.0
16289,0.0
23306,0.0
51130,1.0
29971,0.0
49048,0.0
44729,1.0
19423,1.0
51114,1.0
29409,0.0
20333,1.0
8197,0.0
1028,1.0
21609,0.0
41284,0.0
32631,1.0
35556,1.0
10715,0.0
36024,1.0
21691,0.0
44804,0.0
19682,1.0
31844,1.0
10544,0.0
22812,1.0
42803,0.0
40644,0.0
28957,1.0
10924,1.0
10608,0.0
6961,1.0
7485,1.0
33131,0.0
21859,0.0
15792,1.0
27881,0.0
35315,0.0
50794,0.0
51570,0.0
51054,1.0
41184,1.0
20747,0.0
41877,0.0
22023,1.0
36207,0.0
51202,1.0
41837,0.0
7337,0.0
19407,1.0
31961,0.0
16161,0.0
20194,0.0
20423,0.0
18264,0.0
40834,0.0
19353,1.0
2859,0.0
32183,1.0
17353,0.0
21670,0.0
18663,1.0
21780,1.0
34724,1.0
50864,0.0
50772,1.0
12321,0.0
17051,1.0
8319,0.0
17596,1.0
874,1.0
15807,1.0
324,0.0
42360,0.0
17038,0.0
32130,1.0
8832,0.0
17598,0.0
10597,0.0
2509,1.0
21398,0.0
23847,1.0
41866,0.0
31991,1.0
19544,0.0
6849,0.0
23413,0.0
14721,1.0
7251,0.0
30786,0.0
26879,1.0
8059,1.0
32533,0.0
44724,1.0
29361,1.0
36021,1.0
31968,0.0
31774,0.0
20698,0.0
22527,1.0
23188,1.0
16714,0.0
41166,0.0
32807,1.0
26953,1.0
11233,0.0
37379,1.0
2995,1.0
8330,1.0
8747,0.0
21715,0.0
41575,1.0
28100,1.0
32838,0.0
28010,0.0
31884,0.0
23190,1.0
9725,0.0
27582,1.0
22789,0.0
37414,0.0
21087,1.0
17330,0.0
34944,0.0
21931,0.0
51605,0.0
45866,1.0
23675,0.0
8916,1.0
28400,1.0
2242,1.0
22207,1.0
36097,0.0
51220,0.0
11444,1.0
7932,1.0
16201,1.0
50711,0.0
3514,0.0
16263,1.0
23670,0.0
2841,0.0
10925,1.0
27129,1.0
45204,0.0
22372,1.0
7181,0.0
31170,1.0
34741,1.0
17527,1.0
51071,1.0
50757,0.0
29002,0.0
35641,0.0
42323,1.0
1096,1.0
18970,0.0
23147,1.0
18809,1.0
4162,1.0
37263,0.0
23345,0.0
1324,1.0
29041,0.0
21102,1.0
29179,0.0
1823,1.0
2800,1.0
17042,1.0
51580,0.0
40536,1.0
17243,0.0
2320,1.0
21129,1.0
35772,1.0
17711,1.0
17921,1.0
41715,1.0
15904,0.0
17696,0.0
31877,0.0
21283,1.0
7315,1.0
17646,0.0
29406,1.0
50126,1.0
790,1.0
14683,1.0
32510,1.0
22855,0.0
35769,1.0
20461,1.0
16141,0.0
10634,0.0
28962,1.0
35952,0.0
32687,0.0
41782,0.0
32285,0.0
41368,0.0
50665,0.0
8789,1.0
7383,1.0
40828,0.0
26513,1.0
15999,1.0
22596,1.0
30235,0.0
31951,0.0
34732,1.0
11521,1.0
17123,1.0
35374,0.0
41582,1.0
227,0.0
9117,0.0
8043,1.0
18309,1.0
2960,0.0
34939,1.0
37355,0.0
8656,1.0
34742,1.0
46069,1.0
18782,1.0
20383,1.0
37467,0.0
18204,0.0
33564,0.0
16035,0.0
19410,1.0
3741,1.0
17526,1.0
16689,0.0
45345,0.0
2370,0.0
19412,1.0
9508,0.0
20464,1.0
8364,1.0
34607,0.0
9534,0.0
8460,0.0
2952,1.0
15929,1.0
17273,0.0
27655,0.0
23430,0.0
18762,1.0
50289,0.0
51080,1.0
23671,1.0
8008,1.0
7968,1.0
10667,0.0
23258,1.0
22256,1.0
21348,0.0
44773,0.0
21073,1.0
32375,0.0
14809,1.0
22362,1.0
16433,1.0
9553,1.0
29936,1.0
22219,0.0
16992,1.0
20106,1.0
18239,0.0
32286,0.0
51691,1.0
50610,1.0
35245,0.0
28001,0.0
31953,0.0
45299,1.0
41638,1.0
37595,1.0
34449,1.0
10214,1.0
37128,1.0
23199,1.0
